Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Tian, H., Bai, J., An, Z., Chen, Y., Zhang, R., He, J., Bi, X., Song, Y., Abliz, Z.","Plasma metabolome analysis by integrated ionization rapid-resolution liquid chromatography/tandem mass spectrometry",2013,"Rapid Communications in Mass Spectrometry",27,18,,2071,2080,,9,10.1002/rcm.6666,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84882276342&partnerID=40&md5=6c4797407880c854f8260f44413e08a2",Article,Scopus,2-s2.0-84882276342
"Wang, N., Liu, C.-F., Liu, S.-M., Yang, Z.-M., Li, X.-Z.","Effect of Scutellariae Radix on fever syndrome induced by dry yeast and its property-effect relationship between bitter and cold based on metabolomics",2013,"Chinese Traditional and Herbal Drugs",44,18,,2556,2562,,,10.7501/j.issn.0253-2670.2013.18.013,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84890396252&partnerID=40&md5=53f7ef1110c329c5a4849d049593d91b",Article,Scopus,2-s2.0-84890396252
"Shaw, P.G., Chaerkady, R., Wang, T., Vasilatos, S., Huang, Y., Van Houten, B., Pandey, A., Davidson, N.E.","Integrated Proteomic and Metabolic Analysis of Breast Cancer Progression",2013,"PLoS ONE",8,9, e76220,,,,14,10.1371/journal.pone.0076220,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884686363&partnerID=40&md5=d2aaa2dece199aaa2fcdea68d0c7aba3",Article,Scopus,2-s2.0-84884686363
"Krauss, R.M., Zhu, H., Kaddurah-Daouk, R.","Pharmacometabolomics of statin response",2013,"Clinical Pharmacology and Therapeutics",94,5,,562,565,,20,10.1038/clpt.2013.164,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84886729280&partnerID=40&md5=24861a175465ac55403ba1ba686af9f3",Article,Scopus,2-s2.0-84886729280
"Ramaswamy, V., Hooker, J.W., Withers, R.S., Nast, R.E., Brey, W.W., Edison, A.S.","Development of a <sup>13</sup>C-optimized 1.5-mm high temperature superconducting NMR probe",2013,"Journal of Magnetic Resonance",235,,,58,65,,23,10.1016/j.jmr.2013.07.012,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884479282&partnerID=40&md5=f2b0ca91100baa9b13e54d4bf36b945e",Article,Scopus,2-s2.0-84884479282
"Zhang, H., Wu, L., Xu, C., Xia, C., Sun, L., Shu, S.","Plasma metabolomic profiling of dairy cows affected with ketosis using gas chromatography/mass spectrometry",2013,"BMC Veterinary Research",9,, 186,,,,9,10.1186/1746-6148-9-186,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884567884&partnerID=40&md5=6c7451bf6bdbfc893a3640704b5c99ea",Article,Scopus,2-s2.0-84884567884
"Brink-Jensen, K., Bak, S., Jørgensen, K., Ekstrøm, C.T.","Integrative Analysis of Metabolomics and Transcriptomics Data: A Unified Model Framework to Identify Underlying System Pathways",2013,"PLoS ONE",8,9, e72116,,,,5,10.1371/journal.pone.0072116,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884579113&partnerID=40&md5=29648c3538aceab6ad9134d89baa1c87",Article,Scopus,2-s2.0-84884579113
"Boto-Ordóñez, M., Urpi-Sarda, M., Queipo-Ortuño, M.I., Corella, D., Tinahones, F.J., Estruch, R., Andres-Lacueva, C.","Microbial metabolomic fingerprinting in urine after regular dealcoholized red wine consumption in humans",2013,"Journal of Agricultural and Food Chemistry",61,38,,9166,9175,,16,10.1021/jf402394c,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884876273&partnerID=40&md5=69ac92e15ead036476d70bca0fd6c7fb",Article,Scopus,2-s2.0-84884876273
"Dührkop, K., Ludwig, M., Meusel, M., Böcker, S.","Faster mass decomposition",2013,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",8126 LNBI,,,45,58,,4,10.1007/978-3-642-40453-5_5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884386290&partnerID=40&md5=bb6ce57b7c576a71d023b95ca92a4748",Conference Paper,Scopus,2-s2.0-84884386290
"Zhao, S., Kumar, R., Sakai, A., Vetting, M.W., Wood, B.M., Brown, S., Bonanno, J.B., Hillerich, B.S., Seidel, R.D., Babbitt, P.C., Almo, S.C., Sweedler, J.V., Gerlt, J.A., Cronan, J.E., Jacobson, M.P.","Discovery of new enzymes and metabolic pathways by using structure and genome context",2013,"Nature",502,7473,,698,702,,53,10.1038/nature12576,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84886949770&partnerID=40&md5=9c9c2b65e716a5d30a4fd40434039fe2",Article,Scopus,2-s2.0-84886949770
"Sanz, J., Moreno, P.R., Fuster, V.","The year in atherothrombosis",2013,"Journal of the American College of Cardiology",62,13,,1131,1143,,14,10.1016/j.jacc.2013.06.045,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884406878&partnerID=40&md5=983340557ac9f9510b02be852cad9a52",Article,Scopus,2-s2.0-84884406878
"Hwang, G.-W., Lee, J.-Y., Kim, M.-S., Sato, M., Takahashi, T., Naganuma, A.","Changes in the levels of low molecular weight metabolites in the mouse cerebellum following treatment with methylmercury",2013,"Journal of Toxicological Sciences",38,5,,703,706,,2,10.2131/jts.38.703,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884337886&partnerID=40&md5=48799a19872f7aa5540fb47912a684af",Article,Scopus,2-s2.0-84884337886
"Li, F., Jiang, C., Krausz, K.W., Li, Y., Albert, I., Hao, H., Fabre, K.M., Mitchell, J.B., Patterson, A.D., Gonzalez, F.J.","Microbiome remodelling leads to inhibition of intestinal farnesoid X receptor signalling and decreased obesity",2013,"Nature Communications",4,, 2384,,,,127,10.1038/ncomms3384,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84887960056&partnerID=40&md5=bfc9492c7823da4a7d77eaa731d38070",Article,Scopus,2-s2.0-84887960056
"Menikarachchi, L.C., Hill, D.W., Hamdalla, M.A., Mandoiu, I.I., Grant, D.F.","In silico enzymatic synthesis of a 400 000 compound biochemical database for nontargeted metabolomics",2013,"Journal of Chemical Information and Modeling",53,9,,2483,2492,,16,10.1021/ci400368v,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884555187&partnerID=40&md5=ae0d14386db98eb3436246e25e1ff2e2",Article,Scopus,2-s2.0-84884555187
"Václavík, L., Ovesná, J., Kuèera, L., Hodek, J., Demnerová, K., Hajšlová, J.","Application of ultra-high performance liquid chromatography-mass spectrometry (UHPLC-MS) metabolomic fingerprinting to characterise GM and conventional maize varieties",2013,"Czech Journal of Food Sciences",31,4,,368,375,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884241521&partnerID=40&md5=46e9ee145dbcf832bf58a108d05c8a28",Article,Scopus,2-s2.0-84884241521
"Huang, J.-H., Xie, H.-L., Yan, J., Cao, D.-S., Lu, H.-M., Xu, Q.-S., Liang, Y.-Z.","Interpretation of type 2 diabetes mellitus relevant GC-MS metabolomics fingerprints by using random forests",2013,"Analytical Methods",5,18,,4883,4889,,8,10.1039/c3ay40379c,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883207843&partnerID=40&md5=9d9b94e19ffda5744080ff489c47e997",Article,Scopus,2-s2.0-84883207843
"Wei, X., Shi, X., Merrick, M., Willis, P., Alonso, D., Zhang, X.","A method of aligning peak lists generated by gas chromatography high-resolution mass spectrometry",2013,"Analyst",138,18,,5453,5460,,3,10.1039/c3an00667k,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84881658782&partnerID=40&md5=d55d27e31b5a15fa3c3ba80fc6ea73aa",Article,Scopus,2-s2.0-84881658782
"Rai, A., Umashankar, S., Swarup, S.","Plant metabolomics: From experimental design to knowledge extraction",2013,"Methods in Molecular Biology",1069,,,279,312,,3,10.1007/978-1-62703-613-9_19,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884179262&partnerID=40&md5=a6541545de92f24120fffccb177f0cc3",Article,Scopus,2-s2.0-84884179262
"Sidebottom, A.M., Johnson, A.R., Karty, J.A., Trader, D.J., Carlson, E.E.","Integrated metabolomics approach facilitates discovery of an unpredicted natural product suite from Streptomyces coelicolor M145",2013,"ACS Chemical Biology",8,9,,2009,2016,,24,10.1021/cb4002798,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884629555&partnerID=40&md5=c39dc70230e507a42a8791c642693800",Article,Scopus,2-s2.0-84884629555
"Abdel Rahman, A.M., Ryczko, M., Pawling, J., Dennis, J.W.","Probing the hexosamine biosynthetic pathway in human tumor cells by multitargeted tandem mass spectrometry",2013,"ACS Chemical Biology",8,9,,2053,2062,,11,10.1021/cb4004173,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884639800&partnerID=40&md5=364df82be55ad61883a8be2bc287eca8",Article,Scopus,2-s2.0-84884639800
"Massucci, F.A., Font-Clos, F., De Martino, A., Castillo, I.P.","A novel methodology to estimate metabolic flux distributions in constraint-based models",2013,"Metabolites",3,3,,838,852,,7,10.3390/metabo3030838,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84995745371&partnerID=40&md5=4b9d7c6a16690fdd3e2994190491efa3",Article,Scopus,2-s2.0-84995745371
"Novotny, M.V., Soini, H.A.","Analysis of volatile mouse pheromones by gas chromatography mass spectrometry",2013,"Methods in Molecular Biology",1068,,,29,45,,1,10.1007/978-1-62703-619-1_3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884195570&partnerID=40&md5=694b71e0998844ce273fa30aca140551",Article,Scopus,2-s2.0-84884195570
"Holly, S.P., Chang, J.W., Li, W., Niessen, S., Phillips, R.M., Piatt, R., Black, J.L., Smith, M.C., Boulaftali, Y., Weyrich, A.S., Bergmeier, W., Cravatt, B.F., Parise, L.V.","Chemoproteomic discovery of AADACL1 as a regulator of human platelet activation",2013,"Chemistry and Biology",20,9,,1125,1134,,7,10.1016/j.chembiol.2013.07.011,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884532192&partnerID=40&md5=1f669654d427b1115178eef0a3a064e7",Article,Scopus,2-s2.0-84884532192
"Mäkinen, V.-P., Kangas, A.J., Soininen, P., Würtz, P., Groop, P.-H., Ala-Korpela, M.","Metabolic phenotyping of diabetic nephropathy",2013,"Clinical Pharmacology and Therapeutics",94,5,,566,569,,5,10.1038/clpt.2013.158,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84886720291&partnerID=40&md5=79ce392f6f43352b3a0c708be62ccb3f",Article,Scopus,2-s2.0-84886720291
"Kiss, A., Lucio, M., Fildier, A., Buisson, C., Schmitt-Kopplin, P., Cren-Olivé, C.","Doping Control Using High and Ultra-High Resolution Mass Spectrometry Based Non-Targeted Metabolomics-A Case Study of Salbutamol and Budesonide Abuse",2013,"PLoS ONE",8,9, e74584,,,,14,10.1371/journal.pone.0074584,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884242123&partnerID=40&md5=802db7282754524cec1e2927a6bb1d69",Article,Scopus,2-s2.0-84884242123
"Martens, G.A., Motté, E., Kramer, G., Stangé, G., Gaarn, L.W., Hellemans, K., Nielsen, J.H., Aerts, J.M., Ling, Z., Pipeleers, D.","Functional characteristics of neonatal rat β cells with distinct markers",2013,"Journal of Molecular Endocrinology",52,1,,11,28,,11,10.1530/JME-13-0106,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84890862862&partnerID=40&md5=81d8e10600872acdbf1da0a5d2445aea",Article,Scopus,2-s2.0-84890862862
"Lénárt, J., Bujna, E., Kovács, B., Békefi, E., Száraz, L., Dernovics, M.","Metabolomic approach assisted high resolution LC-ESI-MS based identification of a xenobiotic derivative of fenhexamid produced by Lactobacillus casei",2013,"Journal of Agricultural and Food Chemistry",61,37,,8969,8975,,3,10.1021/jf4022493,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884491607&partnerID=40&md5=b11f9c23cd9fe7c7e1a7a0f177b83dfc",Article,Scopus,2-s2.0-84884491607
"Tian, J.-S., Shi, B.-Y., Xiang, H., Gao, S., Qin, X.-M., Du, G.-H.","1H-NMR-Based Metabonomic Studies on the Anti-Depressant Effect of Genipin in the Chronic Unpredictable Mild Stress Rat Model",2013,"PLoS ONE",8,9, e75721,,,,32,10.1371/journal.pone.0075721,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884240270&partnerID=40&md5=8abaae5aa9d704cd3be6f8128931aeca",Article,Scopus,2-s2.0-84884240270
"Tayyari, F., Gowda, G.A.N., Gu, H., Raftery, D.","15N-Cholamine - A smart isotope tag for combining NMR- and MS-based metabolite profiling",2013,"Analytical Chemistry",85,18,,8715,8721,,29,10.1021/ac401712a,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884260353&partnerID=40&md5=5be58bac527985bd67bae5dd8b834e57",Article,Scopus,2-s2.0-84884260353
"Davis, J.M., Collette, T.W., Villeneuve, D.L., Cavallin, J.E., Teng, Q., Jensen, K.M., Kahl, M.D., Mayasich, J.M., Ankley, G.T., Ekman, D.R.","Field-based approach for assessing the impact of treated pulp and paper mill effluent on endogenous metabolites of fathead minnows (Pimephales promelas)",2013,"Environmental Science and Technology",47,18,,10628,10636,,15,10.1021/es401961j,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884239758&partnerID=40&md5=786514e0a76686e03c4cbd95ac506f23",Article,Scopus,2-s2.0-84884239758
"Väremo, L., Nookaew, I., Nielsen, J.","Novel insights into obesity and diabetes through genome-scale metabolic modeling",2013,"Frontiers in Physiology",4 APR,, Article 92,,,,15,10.3389/fphys.2013.00092,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883786841&partnerID=40&md5=7b1a5bfdf145ecf1509f5284ba1c3ae8",Article,Scopus,2-s2.0-84883786841
"El Hage, M., Baverel, G., Conjard-Duplany, A., Martin, G.","Effect of glucose on glutamine metabolism in rat brain slices: A cellular metabolomic study with <sup>13</sup>C NMR",2013,"Neuroscience",248,,,243,251,,,10.1016/j.neuroscience.2013.05.064,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84880377020&partnerID=40&md5=8a02622b9965805cb4b17dbfb315799f",Article,Scopus,2-s2.0-84880377020
"Niu, X., Pereira, F., Edel, J.B., De Mello, A.J.","Droplet-interfaced microchip and capillary electrophoretic separations",2013,"Analytical Chemistry",85,18,,8654,8660,,19,10.1021/ac401383y,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884238135&partnerID=40&md5=ec265da00bdbd37071a0bc8bfb5b70e3",Article,Scopus,2-s2.0-84884238135
"Zhao, F., Xue, C., Wang, M., Wang, X., Lu, W.","A comparative metabolomics analysis of saccharopolyspora spinosa WT, WH124, and LU104 revealed metabolic mechanisms correlated with increases in spinosad yield",2013,"Bioscience, Biotechnology and Biochemistry",77,8,,1661,1668,,4,10.1271/bbb.130169,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883726505&partnerID=40&md5=33ac2c1fb1aba0ca5d5f2d6f2ba70f2a",Article,Scopus,2-s2.0-84883726505
"Ejigu, B.A., Valkenborg, D., Baggerman, G., Vanaerschot, M., Witters, E., Dujardin, J.-C., Burzykowski, T., Berg, M.","Evaluation of normalization methods to pave the way towards large-scale LC-MS-based metabolomics profiling experiments",2013,"OMICS A Journal of Integrative Biology",17,9,,473,485,,25,10.1089/omi.2013.0010,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883685328&partnerID=40&md5=6e275c6a36a05eea83653066fc584c94",Article,Scopus,2-s2.0-84883685328
"Zhao, H., Li, Z., Tian, G., Gao, K., Li, Z., Zhao, B., Wang, J., Luo, L., Pan, Q., Zhang, W., Wu, Z., Chen, J., Wang, W.","Effects of traditional Chinese medicine on rats with Type II diabetes induced by high-fat diet and streptozotocin: A urine metabonomic study",2013,"African Health Sciences",13,3,,673,681,,7,10.4314/ahs.v13i3.22,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883737950&partnerID=40&md5=8718057f2e6d02843f9a6b81d20d3b28",Article,Scopus,2-s2.0-84883737950
"Zhang, G., He, P., Tan, H., Budhu, A., Gaedcke, J., Michael Ghadimi, B., Ried, T., Yfantis, H.G., Lee, D.H., Maitra, A., Hanna, N., Richard Alexander, H., Perwez Hussain, S.","Integration of metabolomics and transcriptomics revealed a fatty acid network exerting growth inhibitory effects in human pancreatic cancer",2013,"Clinical Cancer Research",19,18,,4983,4993,,43,10.1158/1078-0432.CCR-13-0209,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884570719&partnerID=40&md5=fa065716a1b74a12e721527f8c62f5b5",Article,Scopus,2-s2.0-84884570719
"Mortensen, H.M., Euling, S.Y.","Integrating mechanistic and polymorphism data to characterize human genetic susceptibility for environmental chemical risk assessment in the 21st century",2013,"Toxicology and Applied Pharmacology",271,3,,395,404,,5,10.1016/j.taap.2011.01.015,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883741004&partnerID=40&md5=6b8f4ba0e5f0043b92f8f6f1c854ab85",Article,Scopus,2-s2.0-84883741004
"Wilson, V.S., Keshava, N., Hester, S., Segal, D., Chiu, W., Thompson, C.M., Euling, S.Y.","Utilizing toxicogenomic data to understand chemical mechanism of action in risk assessment",2013,"Toxicology and Applied Pharmacology",271,3,,299,308,,20,10.1016/j.taap.2011.01.017,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883741862&partnerID=40&md5=a6516519e0dd24c606d0a804bfc28469",Article,Scopus,2-s2.0-84883741862
"von Schönfels, W., von Kampen, O., Patsenker, E., Stickel, F., Schniewind, B., Hinz, S., Ahrens, M., Balschun, K., Egberts, J.-H., Richter, K., Landrock, A., Sipos, B., Will, O., Huebbe, P., Schreiber, S., Nothnagel, M., Röcken, C., Rimbach, G., Becker, T., Hampe, J., Schafmayer, C.","Metabolic Signature of Electrosurgical Liver Dissection",2013,"PLoS ONE",8,9, e72022,,,,,10.1371/journal.pone.0072022,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884168314&partnerID=40&md5=8fa033dd835c7f47e5b66dc5644364d5",Article,Scopus,2-s2.0-84884168314
"Anderson, P.E., Pharr, E.J., Peterson, M.","Providing cloud-based metabolite annotations for NMR spectroscopic data with Semantic Web integration",2013,"5th International Conference on Bioinformatics and Computational Biology 2013, BICoB 2013",,,,237,244,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883609485&partnerID=40&md5=62e6a30564c1ec307b80110c84291936",Conference Paper,Scopus,2-s2.0-84883609485
"Kennedy, K.M., Scarbrough, P.M., Ribeiro, A., Richardson, R., Yuan, H., Sonveaux, P., Landon, C.D., Chi, J.-T., Pizzo, S., Schroeder, T., Dewhirst, M.W.","Catabolism of Exogenous Lactate Reveals It as a Legitimate Metabolic Substrate in Breast Cancer",2013,"PLoS ONE",8,9, e75154,,,,40,10.1371/journal.pone.0075154,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884192379&partnerID=40&md5=c4d9cb3a4c7028851213c6f6262f3b4b",Article,Scopus,2-s2.0-84884192379
"Lu, Y., Lam, H., Pi, E., Zhan, Q., Tsai, S., Wang, C., Kwan, Y., Ngai, S.","Comparative metabolomics in Glycine max and Glycine soja under salt stress to reveal the phenotypes of their offspring",2013,"Journal of Agricultural and Food Chemistry",61,36,,8711,8721,,22,10.1021/jf402043m,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84884241268&partnerID=40&md5=8658cd77f9b9c0d8ac3308e923cfeec8",Article,Scopus,2-s2.0-84884241268
"Chen, S., Kong, H., Lu, X., Li, Y., Yin, P., Zeng, Z., Xu, G.","Pseudotargeted metabolomics method and its application in serum biomarker discovery for hepatocellular carcinoma based on ultra high-performance liquid chromatography/triple quadrupole mass spectrometry",2013,"Analytical Chemistry",85,17,,8326,8333,,46,10.1021/ac4016787,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883486388&partnerID=40&md5=c9f2cce427d9f4635e6e4afa484a5fbd",Article,Scopus,2-s2.0-84883486388
"Benjamin, D.I., Cozzo, A., Ji, X., Roberts, L.S., Louie, S.M., Mulvihill, M.M., Luo, K., Nomura, D.K.","Ether lipid generating enzyme AGPS alters the balance of structural and signaling lipids to fuel cancer pathogenicity",2013,"Proceedings of the National Academy of Sciences of the United States of America",110,37,,14912,14917,,55,10.1073/pnas.1310894110,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883819129&partnerID=40&md5=05902a0c8799444a52d6f7ddc1fcf5b9",Article,Scopus,2-s2.0-84883819129
"Matsuda, F., Tsugawa, H., Fukusaki, E.","Method for assessing the statistical significance of mass spectral similarities using basic local alignment search tool statistics",2013,"Analytical Chemistry",85,17,,8291,8297,,6,10.1021/ac401564v,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883477443&partnerID=40&md5=488cbab9ca2456ed981f854a31cd52fe",Article,Scopus,2-s2.0-84883477443
"Karasawa, T., Saito, T., Ueno, Y., Sugimoto, M., Soga, T.","Metabolome analysis of erythrocytes from patients with chronic hepatitis C reveals the etiology of ribavirin-induced hemolysis",2013,"International Journal of Medical Sciences",10,11,,1575,1577,,5,10.7150/ijms.6436,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883862332&partnerID=40&md5=69fa786e59865b9f8e400f23e6cf9b11",Article,Scopus,2-s2.0-84883862332
"D'Alessandro, A., Marrocco, C., Rinalducci, S., Peschiaroli, A., Timperio, A.M., Bongiorno-Borbone, L., Finazzi Agrò, A., Melino, G., Zolla, L.","Analysis of TAp73-dependent signaling via omics technologies",2013,"Journal of Proteome Research",12,9,,4207,4220,,10,10.1021/pr4005508,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883804622&partnerID=40&md5=488381d990fc783131fe4c15f670b33b",Article,Scopus,2-s2.0-84883804622
"Ghosh, S., Sengupta, A., Sharma, S., Sonawat, H.M.","Metabolic Perturbations of Kidney and Spleen in Murine Cerebral Malaria: <sup>1</sup>H NMR-Based Metabolomic Study",2013,"PLoS ONE",8,9, e73113,,,,7,10.1371/journal.pone.0073113,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883619340&partnerID=40&md5=d19324eb8c8be49c48fa0d770f9fa008",Article,Scopus,2-s2.0-84883619340
"Pasikanti, K.K., Esuvaranathan, K., Hong, Y., Ho, P.C., Mahendran, R., Raman Nee Mani, L., Chiong, E., Chan, E.C.Y.","Urinary metabotyping of bladder cancer using two-dimensional gas chromatography time-of-flight mass spectrometry",2013,"Journal of Proteome Research",12,9,,3865,3873,,20,10.1021/pr4000448,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883815567&partnerID=40&md5=7cc1f890780e82fd41b58193e25b39c9",Article,Scopus,2-s2.0-84883815567
"Reinke, S.N., Walsh, B.H., Boylan, G.B., Sykes, B.D., Kenny, L.C., Murray, D.M., Broadhurst, D.I.","<sup>1</sup>H NMR derived metabolomic profile of neonatal asphyxia in umbilical cord serum: Implications for hypoxic ischemic encephalopathy",2013,"Journal of Proteome Research",12,9,,4230,4239,,19,10.1021/pr400617m,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883781183&partnerID=40&md5=384883fb80492943fc6e713f26316bef",Article,Scopus,2-s2.0-84883781183
"Hanhineva, K., Barri, T., Kolehmainen, M., Pekkinen, J., Pihlajamäki, J., Vesterbacka, A., Solano-Aguilar, G., Mykkänen, H., Dragsted, L.O., Urban, J.F., Poutanen, K.","Comparative nontargeted profiling of metabolic changes in tissues and biofluids in high-fat diet-fed Ossabaw pig",2013,"Journal of Proteome Research",12,9,,3980,3992,,16,10.1021/pr400257d,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883787467&partnerID=40&md5=4da058795858bfd2c7f3f1df27f3d234",Article,Scopus,2-s2.0-84883787467
"Goudarzi, M., Koga, T., Khozoie, C., Mac, T.D., Kang, B.-H., Fornace Jr., A.J., Peters, J.M.","PPARβ/δ modulates ethanol-induced hepatic effects by decreasing pyridoxal kinase activity",2013,"Toxicology",311,3,,87,98,,4,10.1016/j.tox.2013.07.002,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84881233993&partnerID=40&md5=615069fd1f034fc10d893c386d9e3b3c",Article,Scopus,2-s2.0-84881233993
"Ji, C., Wu, H., Wei, L., Zhao, J., Yu, J.","Proteomic and metabolomic analysis reveal gender-specific responses of mussel Mytilus galloprovincialis to 2,2',4,4'-tetrabromodiphenyl ether (BDE 47)",2013,"Aquatic Toxicology",140-141,,,449,457,,48,10.1016/j.aquatox.2013.07.009,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84881630564&partnerID=40&md5=1a01df641edb0c35a4663373e098d803",Article,Scopus,2-s2.0-84881630564
"Cho, K., Kim, Y., Wi, S.J., Seo, J.B., Kwon, J., Chung, J.H., Park, K.Y., Nam, M.H.","Metabolic survey of defense responses to a compatible hemibiotroph, phytophthora parasitica var. nicotianae, in ethylene signaling-impaired tobacco",2013,"Journal of Agricultural and Food Chemistry",61,35,,8477,8489,,3,10.1021/jf401785w,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883700872&partnerID=40&md5=ecba9503afc83e248ea808902fe64c82",Article,Scopus,2-s2.0-84883700872
"Bouatra, S., Aziat, F., Mandal, R., Guo, A.C., Wilson, M.R., Knox, C., Bjorndahl, T.C., Krishnamurthy, R., Saleem, F., Liu, P., Dame, Z.T., Poelzer, J., Huynh, J., Yallou, F.S., Psychogios, N., Dong, E., Bogumil, R., Roehring, C., Wishart, D.S.","The Human Urine Metabolome",2013,"PLoS ONE",8,9, e73076,,,,270,10.1371/journal.pone.0073076,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883331522&partnerID=40&md5=2e50f5d85c2ad9a5f7429fa1f5206592",Article,Scopus,2-s2.0-84883331522
"Ye, Y., Zhang, L., Yang, R., Luo, Q., Chen, H., Yan, X., Tang, H.","Metabolic phenotypes associated with high-temperature tolerance of porphyra haitanensis strains",2013,"Journal of Agricultural and Food Chemistry",61,35,,8356,8363,,11,10.1021/jf402749a,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883707610&partnerID=40&md5=3ca03036972406a17817f89d8af34834",Article,Scopus,2-s2.0-84883707610
"Kirkwood, J.S., Maier, C., Stevens, J.F.","Simultaneous, untargeted metabolic profiling of polar and nonpolar metabolites by LC-Q-TOF mass spectrometry",2013,"Current Protocols in Toxicology",1,SUPPL.56,,,,4.39,3,10.1002/0471140856.tx0439s56,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883153448&partnerID=40&md5=a69ac6ad4c443897d7d94720b03e5381",Article,Scopus,2-s2.0-84883153448
"Xue, W., Batushansky, A., Toubiana, D., Botnick, I., Szymanski, J., Khozin-Goldberg, I., Nikoloski, Z., Lewinsohn, E., Fait, A.","The Investment in Scent: Time-Resolved Metabolic Processes in Developing Volatile-Producing Nigella sativa L. Seeds",2013,"PLoS ONE",8,9, e73061,,,,1,10.1371/journal.pone.0073061,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883391014&partnerID=40&md5=0f066f40f2b2f4a139a5d45fa543c0ba",Article,Scopus,2-s2.0-84883391014
"Ordovás Muñoz, J.M.","Predictors of obesity: The ""power"" of the omics | Predictores de obesidad: El ""poder"" de las omicas",2013,"Nutricion Hospitalaria",28,SUPPL.5,,63,72,,11,10.3305/nh.2013.28.sup5.6919,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883162867&partnerID=40&md5=2b960e32068f21a2f3b43fbd1f7d39f9",Article,Scopus,2-s2.0-84883162867
"Kuligowski, J., Pérez-Guaita, D., Escobar, J., De La Guardia, M., Vento, M., Ferrer, A., Quintás, G.","Evaluation of the effect of chance correlations on variable selection using Partial Least Squares-Discriminant Analysis",2013,"Talanta",116,,,835,840,,8,10.1016/j.talanta.2013.07.048,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84883183058&partnerID=40&md5=ddaa31e2942173535befc1c22921f8d1",Article,Scopus,2-s2.0-84883183058
