," This is a citation overview for a set of 9206 documents.",,,,,,,,,,,,,,,,,
2014,"Tapping the wealth of microbial data in high-throughput metabolic model reconstruction","Colasanti R., Edirisinghe J.N., Khazaei T., Faria J.P., Seaver S., Xia F., Henry C.",10643745,"Methods in Molecular Biology",1191, ,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Mechanical unloading promotes myocardial energy recovery in human heart failure","Gupte A.A., Hamilton D.J., Cordero-Reyes A.M., Youker K.A., Yin Z., Estep J.D., Stevens R.D., Wenner B., Ilkayeva O., Loebe M., Peterson L.E., Lyon C.J., Wong S.T.C., Newgard C.B., Torre-Amione G., Taegtmeyer H., Hsueh W.A.",1942325X,"Circulation: Cardiovascular Genetics",7, 3,0,0,0,0,0,0,0,0,1,1,21,22
2014,"Characterization of resting versus stimulated saliva fingerprints using middle-infrared spectroscopy assisted by principal component analysis","Badea I., Crisan M., Fetea F., Socaciu C.",12245984,"Romanian Biotechnological Letters",19, 6,0,0,0,0,0,0,0,0,0,0,1,1
2014,"Untargeted profiling of urinary steroid metabolites after testosterone ingestion: Opening new perspectives for antidoping testing","Boccard J., Badoud F., Jan N., Nicoli R., Schweizer C., Pralong F., Veuthey J.-L., Baume N., Rudaz S., Saugy M.",17576180,"Bioanalysis",6, 19,0,0,0,0,0,0,0,0,0,0,10,10
2014,"Study on correspondence between prescription and syndrome and the essence of phlegm and blood stasis syndrome in coronary heart disease based on metabonomics","Lu X.-Y., Xu H., Li G., Zhao T.",16720415,"Chinese Journal of Integrative Medicine",20, 1,0,0,0,0,0,0,0,0,1,1,1,2
2014,"Comparison of serum concentrations of symmetric dimethylarginine and creatinine as kidney function biomarkers in healthy geriatric cats fed reduced protein foods enriched with fish oil, L-carnitine, and medium-chain triglycerides","Hall J.A., Yerramilli M., Obare E., Yerramilli M., Yu S., Jewell D.E.",10900233,"Veterinary Journal",202, 3,0,0,0,0,0,0,0,0,0,0,20,20
2014,"Metabolic engineering of Saccharomyces cerevisiae to improve succinic acid production based on metabolic profiling","Ito Y., Hirasawa T., Shimizu H.",09168451,"Bioscience, Biotechnology and Biochemistry",78, 1,0,0,0,0,0,0,0,0,1,1,8,9
2014,"A chemometric approach to the quality control of Sutherlandia (cancer bush)","Acharya D., Enslin G., Chen W., Sandasi M., Mavimbela T., Viljoen A.",03051978,"Biochemical Systematics and Ecology",56, ,0,0,0,0,0,0,0,0,0,0,1,1
2014,"Nuclear magnetic resonance metabolic profiling of leaves from Vitis vinifera infested with root-feeding grape phylloxera (Daktulosphaira vitifoliae Fitch) under field conditions","Benheim D., Rochfort S., Korosi G.A., Powell K.S., Robertson E., Potter I.D.",05677572,"Acta Horticulturae",1045, ,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Kidney tissue targeted metabolic profiling of glucocorticoid-induced osteoporosis and the proposed therapeutic effects of Rhizoma Drynariae studied using UHPLC/MS/MS","Huang Y., Liu X., Zhao L., Li F., Xiong Z.",02693879,"Biomedical Chromatography",28, 6,0,0,0,0,0,0,0,0,0,0,9,9
2014,"Characterisation of metabolic profile of banana genotypes, aiming at biofortified Musa spp. cultivars","Borges C.V., Amorim V.B.D.O., Ramlov F., Ledo C.A.D.S., Donato M., Maraschin M., Amorim E.P.",03088146,"Food Chemistry",145, ,0,0,0,0,0,0,0,0,0,0,7,7
2014,"Eicosapentaenoic acid is converted via ω-3 epoxygenation to the anti-inflammatory metabolite 12-hydroxy-17,18-epoxyeicosatetraenoic acid","Kubota T., Arita M., Isobe Y., Iwamoto R., Goto T., Yoshioka T., Urabe D., Inoue M., Arai H.",08926638,"FASEB Journal",28, 2,0,0,0,0,0,0,0,0,5,5,11,16
2014,"Breath gas metabolites and bacterial metagenomes from cystic fibrosis airways indicate active pH neutral 2,3-butanedione fermentation","Whiteson K.L., Meinardi S., Lim Y.W., Schmieder R., Maughan H., Quinn R., Blake D.R., Conrad D., Rohwer F.",17517370,"ISME Journal",8, 6,0,0,0,0,0,0,0,0,5,5,25,30
2014,"Use of solid-phase microextraction coupled to gas chromatography-mass spectrometry for determination of urinary volatile organic compounds in autistic children compared with healthy controls","Cozzolino R., De Magistris L., Saggese P., Stocchero M., Martignetti A., Di Stasio M., Malorni A., Marotta R., Boscaino F., Malorni L.",16182642,"Analytical and Bioanalytical Chemistry",406, 19,0,0,0,0,0,0,0,0,0,0,7,7
2014,"Metabolic consequences of LDHA inhibition by epigallocatechin gallate and oxamate in MIA PaCa-2 pancreatic cancer cells","Lu Q.-Y., Zhang L., Yee J.K., Go V.-L.W., Lee W.-N.",15733882,"Metabolomics",11, 1,0,0,0,0,0,0,0,0,0,0,16,16
2014,"Lipidomics Applications for Discovering Biomarkers of Diseases in Clinical Chemistry","Zhao Y.-Y., Cheng X.-L., Lin R.-C.",19376448,"International Review of Cell and Molecular Biology",313, ,0,0,0,0,0,0,0,0,0,0,17,17
2014,"A combined metabolomic and phylogenetic study reveals putatively prebiotic effects of high molecular weight arabino-oligosaccharides when assessed by invitro fermentation in bacterial communities derived from humans","Sulek K., Vigsnaes L.K., Schmidt L.R., Holck J., Frandsen H.L., Smedsgaard J., Skov T.H., Meyer A.S., Licht T.R.",10759964,"Anaerobe",28, ,0,0,0,0,0,0,0,0,0,0,6,6
2014,"Metabolite signatures of exercise training in human skeletal muscle relate to mitochondrial remodelling and cardiometabolic fitness","Huffman K.M., Koves T.R., Hubal M.J., Abouassi H., Beri N., Bateman L.A., Stevens R.D., Ilkayeva O.R., Hoffman E.P., Muoio D.M., Kraus W.E.",0012186X,"Diabetologia",57, 11,0,0,0,0,0,0,0,0,0,0,16,16
2014,"Urinary metabolite profiling identifies novel colonic metabolites and conjugates of phenolics in healthy volunteers","Pimpao R.C., Dew T., Figueira M.E., Mcdougall G.J., Stewart D., Ferreira R.B., Santos C.N., Williamson G.",16134125,"Molecular Nutrition and Food Research",58, 7,0,0,0,0,0,0,0,0,1,1,17,18
2014,"2,4-Dihydroxypyrimidine is a potential urinary metabolite biomarker for diagnosing bipolar disorder","Xu X.-J., Zheng P., Ren G.-P., Liu M.-L., Mu J., Guo J., Cao D., Liu Z., Meng H.-Q., Xie P.",1742206X,"Molecular BioSystems",10, 4,0,0,0,0,0,0,0,0,4,4,12,16
2014,"Autophagy is required for glucose homeostasis and lung tumor maintenance","Karsli-Uzunbas G., Guo J.Y., Price S., Teng X., Laddha S.V., Khor S., Kalaany N.Y., Jacks T., Chan C.S., Rabinowitz J.D., White E.",21598274,"Cancer Discovery",4, 8,0,0,0,0,0,0,0,0,4,4,86,90
2014,"Characterization of the serum metabolic profile of dairy cows with milk fever using <sup>1</sup>H-NMR spectroscopy","Sun Y., Xu C., Li C., Xia C., Xu C., Wu L., Zhang H.",01652176,"Veterinary Quarterly",34, 3,0,0,0,0,0,0,0,0,0,0,5,5
2014,"Metabolomic analysis of the salt-sensitive mutants reveals changes in amino acid and fatty acid composition important to long-term salt stress in Synechocystis sp. PCC 6803","Wang J., Zhang X., Shi M., Gao L., Niu X., Te R., Chen L., Zhang W.",1438793X,"Functional and Integrative Genomics",14, 2,0,0,0,0,0,0,0,0,3,3,6,9
2014,"Metabonomic analysis of Bombyx mori (Heterocera: Bombysidae) treated with acetaminophen","Yin W.M., Xu X., He Y., Wei G.B., Sima Y.H., Shi-Qing X.",15362442,"Journal of insect science (Online)",14, ,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Metabonomics study on the hot syndrome of traditional Chinese medicine by rapid resolution liquid chromatography combined with quadrupole time-of-flight tandem mass spectrometry","Wang Y., Ma L., Sun Y., Yang L., Yue H., Liu S.",02536269,"Archives of Pharmacal Research",37, 7,0,0,0,0,0,0,0,0,2,2,2,4
2014,"Metabolomic profiling of three brain regions from a postnatal infected Borna disease virus Hu-H1 rat model","Lei Y., Li D., Deng J., Shao W.-H., Fan S.-H., Wang X., Huang H., Chen S.-G., Zhang H.-Z., Zhang L., Zhang Y., Li W.-J., Huang R.-Z., Liu X., Zhou C.-J., Chen J.-J., Xie P.",15733882,"Metabolomics",10, 3,0,0,0,0,0,0,0,0,1,1,8,9
2014,"Sulfate-reducing bacteria mediate thionation of diphenylarsinic acid under anaerobic conditions","Guan L., Shiiya A., Hisatomi S., Fujii K., Nonaka M., Harada N.",09239820,"Biodegradation",26, 1,0,0,0,0,0,0,0,0,0,0,1,1
2014,"Global Metabolomic Profiling of Acute Myocarditis Caused by Trypanosoma cruzi Infection","Girones N., Carbajosa S., Guerrero N.A., Poveda C., Chillon-Marinas C., Fresno M.",19352727,"PLoS Neglected Tropical Diseases",8, 11,0,0,0,0,0,0,0,0,0,0,7,7
2014,"Analysis on the correlation between urinary metabolite composition and clinical stage of ovarian cancer","Hao X.-Y., Jiang T., Zhang X.-J., Zhang P.-H., Wang S.-S., Wang X., Bi W.-X.",16735269,"Chinese Journal of Cancer Prevention and Treatment",21, 20,0,0,0,0,0,0,0,0,0,0,0,0
2014,"AGA's Approach to the Microbiome","Hecht G.",15423565,"Clinical Gastroenterology and Hepatology",12, 4,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Pharmacometabolomics reveals that serotonin is implicated in aspirin response variability","Ellero-Simatos S., Lewis J.P., Georgiades A., Yerges-Armstrong L.M., Beitelshees A.L., Horenstein R.B., Dane A., Harms A.C., Ramaker R., Vreeken R.J., Perry C.G., Zhu H., Sanchez C.L., Kuhn C., Ortel T.L., Shuldiner A.R., Hankemeier T., Kaddurah-Daouk R.",21638306,"CPT: Pharmacometrics and Systems Pharmacology",3, 7,0,0,0,0,0,0,0,0,0,0,22,22
2014,"A metabonomic study of cardioprotection of ginsenosides, schizandrin, and ophiopogonin D against acute myocardial infarction in rats","Jiang M., Kang L., Wang Y., Zhao X., Liu X., Xu L.",14726882,"BMC complementary and alternative medicine",14, ,0,0,0,0,0,0,0,0,0,0,4,4
2014,"Estradiol and mTORC2 cooperate to enhance prostaglandin biosynthesis and tumorigenesis in TSC2-deficient LAM cells","Li C., Lee P.-S., Sun Y., Gu X., Zhang E., Guo Y., Wu C.-L., Auricchio N., Priolo C., Li J., Csibi A., Parkhitko A., Morrison T., Planaguma A., Kazani S., Israel E., Xu K.-F., Henske E.P., Blenis J., Levy B.D., Kwiatkowski D., Yu J.J.",00221007,"Journal of Experimental Medicine",211, 1,0,0,0,0,0,0,0,0,5,5,21,26
2014,"Studying the elusive environment in large scale","Patel C.J., Ioannidis J.P.A.",00987484,"JAMA - Journal of the American Medical Association",311, 21,0,0,0,0,0,0,0,0,2,2,22,24
2014,"Metabolic map of mature maize kernels","Rao J., Cheng F., Hu C., Quan S., Lin H., Wang J., Chen G., Zhao X., Alexander D., Guo L., Wang G., Lai J., Zhang D., Shi J.",15733882,"Metabolomics",10, 5,0,0,0,0,0,0,0,0,0,0,6,6
2014,"Systems analysis of West Nile virus infection","Suthar M.S., Pulendran B.",18796257,"Current Opinion in Virology",6, 1,0,0,0,0,0,0,0,0,0,0,7,7
2014,"Metabostemness: A new cancer hallmark","Menendez J.A., Alarcon T.",2234943X,"Frontiers in Oncology",4, ,0,0,0,0,0,0,0,0,1,1,32,33
2014,"UPLC-MS profiling of low molecular weight phlorotannin polymers in Ascophyllum nodosum, Pelvetia canaliculata and Fucus spiralis","Tierney M.S., Soler-Vila A., Rai D.K., Croft A.K., Brunton N.P., Smyth T.J.",15733882,"Metabolomics",10, 3,0,0,0,0,0,0,0,0,1,1,10,11
2014,"Changes in metabolite profiles in Norway spruce shoot tips during short-day induced winter bud development and long-day induced bud flush","Lee Y.K., Alexander D., Wulff J., Olsen J.E.",15733882,"Metabolomics",10, 5,0,0,0,0,0,0,0,0,0,0,2,2
2014,"β-Aminobutyric acid (BABA)-induced resistance in Arabidopsis thaliana: Link with iron homeostasis","Koen E., Trapet P., Brule D., Kulik A., Klinguer A., Atauri-Miranda L., Meunier-Prest R., Boni G., Glauser G., Mauch-Mani B., Wendehenne D., Besson-Bard A.",08940282,"Molecular Plant-Microbe Interactions",27, 11,0,0,0,0,0,0,0,0,0,0,7,7
2014,"Metabolome analysis of Drosophila melanogaster during embryogenesis","An P.N., Yamaguchi M., Bamba T., Fukusaki E.",19326203,"PloS one",9, 8,0,0,0,0,0,0,0,0,0,0,7,7
2014,"Small molecule immunomodulins from cultures of the human microbiome member Lactobacillus plantarum","Zvanych R., Lukenda N., Kim J.J., Li X., Petrof E.O., Khan W.I., Magarvey N.A.",00218820,"Journal of Antibiotics",67, 1,0,0,0,0,0,0,0,0,1,1,4,5
2014,"UPLC-Q-TOF/MS based metabolomic profiling of serum and urine of hyperlipidemic rats induced by high fat diet","Wu Q., Zhang H., Dong X., Chen X.-F., Zhu Z.-Y., Hong Z.-Y., Chai Y.-F.",20951779,"Journal of Pharmaceutical Analysis",4, 6,0,0,0,0,0,0,0,0,1,1,2,3
2014,"Quantitative molecular networking to profile marine cyanobacterial metabolomes","Winnikoff J.R., Glukhov E., Watrous J., Dorrestein P.C., Gerwick W.H.",00218820,"Journal of Antibiotics",67, 1,0,0,0,0,0,0,0,0,1,1,18,19
2014,"Extension of GWAS results for lipid-related phenotypes to extreme obesity using electronic health record (EHR) data and the Metabochip","Parihar A., Wood G.C., Chu X., Jin Q., Argyropoulos G., Still C.D., Shuldiner A.R., Mitchell B.D., Gerhard G.S.",16648021,"Frontiers in Genetics",5, ,0,0,0,0,0,0,0,0,0,0,4,4
2014,"Serum metabonomic analysis of protective effects of Curcuma aromatica oil on renal fibrosis rats","Zhao L., Zhang H., Yang Y., Zheng Y., Dong M., Wang Y., Bai G., Ye X., Yan Z., Gao H.",19326203,"PLoS ONE",9, 9,0,0,0,0,0,0,0,0,0,0,6,6
2014,"Large-scale functional analysis of the roles of phosphorylation in yeast metabolic pathways","Schulz J.C., Zampieri M., Wanka S., Von Mering C., Sauer U.",19450877,"Science Signaling",7, 353,0,0,0,0,0,0,0,0,0,0,17,17
2014,"The role of low-grade inflammation and metabolic flexibility in aging and nutritional modulation thereof: A systems biology approach","Calcada D., Vianello D., Giampieri E., Sala C., Castellani G., de Graaf A., Kremer B., van Ommen B., Feskens E., Santoro A., Franceschi C., Bouwman J.",00476374,"Mechanisms of Ageing and Development",136-137, ,0,0,0,0,0,0,0,0,2,2,17,19
2014,"Glucosylceramide and lysophosphatidylcholines as potential blood biomarkers for drug-induced hepatic phospholipidosis","Saito K., Maekawa K., Ishikawa M., Senoo Y., Urata M., Murayama M., Nakatsu N., Yamada H., Saito Y.",10966080,"Toxicological Sciences",141, 2,0,0,0,0,0,0,0,0,0,0,7,7
2014,"Techniques to monitor glycolysis","Teslaa T., Teitell M.A.",00766879,"Methods in Enzymology",542, ,0,0,0,0,0,0,0,0,0,0,15,15
2014,"New approaches in metabolic fingerprinting: Improved extraction method and automatic reduction of NMR spectra to essential data","Schripsema J., Lemos M.A., Dianin M.F.V., Vianna D.S., Dagnino D.S.",00976156,"ACS Symposium Series",1185, ,0,0,0,0,0,0,0,0,0,0,0,0
2014,"MS-based lipidomics","Poho P., Oresic M., Hyotylainen T.",0166526X,"Comprehensive Analytical Chemistry",64, ,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Label-free inline hplc detector using a drop generator","Kebriaei R., Basu A.S.",,"18th International Conference on Miniaturized Systems for Chemistry and Life Sciences, MicroTAS 2014",, ,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Why development of new HPLC column technology is still alive: Stationary phase innovations rise to meet the demands of modern chromatographers","Young J.E., Matyska M.T., Pesek J.J.",0392839X,"Chimica Oggi/Chemistry Today",32, 1,0,0,0,0,0,0,0,0,0,0,1,1
2014,"PIERO ontology for analysis of biochemical transformations: Effective implementation of reaction information in the IUBMB enzyme list","Kotera M., Nishimura Y., Nakagawa Z.-I., Muto A., Moriya Y., Okamoto S., Kawashima S., Katayama T., Tokimatsu T., Kanehisa M., Goto S.",02197200,"Journal of Bioinformatics and Computational Biology",12, 6,0,0,0,0,0,0,0,0,0,0,2,2
2014,"From proteomics to systems biology: MAPA, MASS WESTERN, PROMEX, and COVAIN as a user-oriented platform","Weckwerth W., Wienkoop S., Hoehenwarter W., Egelhofer V., Sun X.",10643745,"Methods in Molecular Biology",1072, ,0,0,0,0,0,0,0,0,1,1,3,4
2014,"Recent progress in polar metabolite quantification in plants using liquid chromatography-mass spectrometry","Liu Z., Rochfort S.",16729072,"Journal of Integrative Plant Biology",56, 9,0,0,0,0,0,0,0,0,2,2,3,5
2014,"Dynamic metabolic and transcriptional profiling of Rhodococcus sp. strain YYL during the degradation of tetrahydrofuran","He Z., Yao Y., Lu Z., Ye Y.",00992240,"Applied and Environmental Microbiology",80, 9,0,0,0,0,0,0,0,0,0,0,4,4
2014,"GPMS: A genetic programming based approach to multiple alignment of liquid chromatography-mass spectrometry data","Ahmed S., Zhang M., Peng L.",03029743,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)",8602, ,0,0,0,0,0,0,0,0,0,0,2,2
2014,"Regulatory network of secondary metabolism in Brassica rapa: insight into the glucosinolate pathway","Pino Del Carpio D., Basnet R.K., Arends D., Lin K., De Vos R.C., Muth D., Kodde J., Boutilier K., Bucher J., Wang X., Jansen R., Bonnema G.",19326203,"PloS one",9, 9,0,0,0,0,0,0,0,0,0,0,4,4
2014,"Cleaning up NMR spectra with reference deconvolution for improving multivariate analysis of complex mixture spectra","Ebrahimi P., Nilsson M., Morris G.A., Jensen H.M., Engelsen S.B.",08869383,"Journal of Chemometrics",28, 8,0,0,0,0,0,0,0,0,0,0,8,8
2014,"Quantification and mass isotopomer profiling of α-keto acids in central carbon metabolism","Zimmermann M., Sauer U., Zamboni N.",00032700,"Analytical Chemistry",86, 6,0,0,0,0,0,0,0,0,0,0,13,13
2014,"Urine metabolomic study of primary dysmenorrhea patients during menstrual period using an ultra performance liquid chromatography coupled with quadrupole-time-of-flight mass spectrometry (UPLC-Q-TOF-MS)","Fang L., Dai N., Wang L., Zhang X., Liu X., Wang Y., Li Y.",20462069,"RSC Advances",4, 83,0,0,0,0,0,0,0,0,0,0,1,1
2014,"Glutamate acts as a key signal linking glucose metabolism to incretin/cAMP action to amplify insulin secretion","Gheni G., Ogura M., Iwasaki M., Yokoi N., Minami K., Nakayama Y., Harada K., Hastoy B., Wu X., Takahashi H., Kimura K., Matsubara T., Hoshikawa R., Hatano N., Sugawara K., Shibasaki T., Inagaki N., Bamba T., Mizoguchi A., Fukusaki E., Rorsman P., Seino S.",22111247,"Cell Reports",9, 2,0,0,0,0,0,0,0,0,0,0,35,35
2014,"Characean internodal cells as a model system for the study of cell organization","Foissner I., Wasteneys G.O.",19376448,"International Review of Cell and Molecular Biology",311, ,0,0,0,0,0,0,0,0,0,0,4,4
2014,"Metabolomic analysis provides novel chemotaxonomic characteristics for phenotypic cultivars of tree peony","Xiao C., Wu M., Chen Y., Jia P., Jia R., Zheng X.",17599660,"Analytical Methods",6, 19,0,0,0,0,0,0,0,0,0,0,2,2
2014,"Compartmentation and localization of bioactive metabolites in different organs of Allium roylei","Abdelrahman M., Hirata S., Ito S.-I., Yamauchi N., Shigyo M.",09168451,"Bioscience, Biotechnology and Biochemistry",78, 7,0,0,0,0,0,0,0,0,0,0,3,3
2014,"A metabolic signature of colon cancer initiating cells","Chen K.-Y., Liu X., Bu P., Lin C.-S., Rakhilin N., Locasale J.W., Shen X.",1557170X,"Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference",2014, ,0,0,0,0,0,0,0,0,0,0,0,0
2014,"NMR of lipids","Pikula S., Bandorowicz-Pikula J., Groves P.",03059804,"Nuclear Magnetic Resonance",43, ,0,0,0,0,0,0,0,0,0,0,3,3
2014,"Feature extraction based on trimmed complex network representation for metabolomic data classification","Chen Y., Zhu Z., Ji Z.",,"Proceedings of the 2014 IEEE Congress on Evolutionary Computation, CEC 2014",, ,0,0,0,0,0,0,0,0,0,0,0,0
2014,"A metabolic signature of colon cancer initiating cells","Chen K.-Y., Liu X.J., Bu P., Lin C.-S., Rakhilin N., Locasale J.W., Shen X.",,"2014 36th Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC 2014",, ,0,0,0,0,0,0,0,0,0,0,8,8
2014,"Latest advances in distributed, parallel, and graphic processing unit accelerated approaches to computational biology","Merelli I., Perez-Sanchez H., Gesing S., D'Agostino D.",15320626,"Concurrency Computation Practice and Experience",26, 10,0,0,0,0,0,0,0,0,2,2,1,3
2014,"NMR quantitative analysis of complex mixtures","Russell D.J., Krishnamurthy K.",20556101,"eMagRes",3, 3,0,0,0,0,0,0,0,0,0,0,1,1
2014,"Quantification of health-promoting compounds by quantitative &lt;sup&gt;1&lt;/sup&gt;HNMR spectroscopy","Jayaprakasha G.K., Patil B.S.",00976156,"ACS Symposium Series",1185, ,0,0,0,0,0,0,0,0,0,0,1,1
2014,"A review of blind source separation in NMR spectroscopy","Toumi I., Caldarelli S., Torresani B.",00796565,"Progress in Nuclear Magnetic Resonance Spectroscopy",81, ,0,0,0,0,0,0,0,0,0,0,15,15
2014,"A new approach for multi-omic data integration","Zuo Y., Yu G., Zhang C., Ressom H.W.",,"Proceedings - 2014 IEEE International Conference on Bioinformatics and Biomedicine, IEEE BIBM 2014",, ,0,0,0,0,0,0,0,0,0,0,3,3
2014,"A survey on evolutionary algorithm based hybrid intelligence in bioinformatics","Li S., Kang L., Zhao X.-M.",23146133,"BioMed Research International",2014, ,0,0,0,0,0,0,0,0,1,1,4,5
2014,"Nutrigenomic effects of omega-3 fatty acids","Gladine C., Mazur A.",0956666X,"Lipid Technology",26, 10,0,0,0,0,0,0,0,0,0,0,1,1
2014,"<sup>1</sup>H high resolution magic-angle coil spinning (HR-MACS) μNMR metabolic profiling of whole Saccharomyces cervisiae cells: A demonstrative study","Wong A., Boutin C., Aguiar P.M.",22962646,"Frontiers in Chemistry",2, ,0,0,0,0,0,0,0,0,0,0,2,2
2014,"A flexible modeling framework for coupled matrix and tensor factorizations","Acar E., Nilsson M., Saunders M.",22195491,"European Signal Processing Conference",, ,0,0,0,0,0,0,0,0,1,1,1,2
2014,"Metabolomic studies of urinary metabolic profiling in Sichuan golden monkey, Rhinopithecus roxellana","Huang S., Li L., Wu J., Li C.M., Bai J.Y., Sun Y., Wang G.L.",00309923,"Pakistan Journal of Zoology",46, 3,0,0,0,0,0,0,0,0,0,0,1,1
2014,"From systems biology to systems chemistry: Metabolomic procedures enable insight into complex chemical reaction networks in water","Meret M., Kopetzki D., Degenkolbe T., Kleessen S., Nikoloski Z., Tellstroem V., Barsch A., Kopka J., Antonietti M., Willmitzer L.",20462069,"RSC Advances",4, 32,0,0,0,0,0,0,0,0,0,0,2,2
2014,"OMICtools: an informative directory for multi-omic data analysis","Henry V.J., Bandrowski A.E., Pepin A.-S., Gonzalez B.J., Desfeux A.",17580463,"Database : the journal of biological databases and curation",2014, ,0,0,0,0,0,0,0,0,0,0,34,34
2014,"Moving medical semeiotics to the digital realm: SEMEOTICONS Approach to face signs of cardiometabolic risk","Coppini G., Favilla R., Gastaldelli A., Colantonio S., Marraccini P.",,"HEALTHINF 2014 - 7th International Conference on Health Informatics, Proceedings; Part of 7th International Joint Conference on Biomedical Engineering Systems and Technologies, BIOSTEC 2014",, ,0,0,0,0,0,0,0,0,1,1,6,7
2014,"Disposable &lt;sup&gt;1&lt;/sup&gt;H NMR detectors for food quality monitoring: Application to butter and citrus juice discrimination","Badilita V., Adhikari S.S., MacKinnon N., Wallrabe U., Korvink J.G.",,"18th International Conference on Miniaturized Systems for Chemistry and Life Sciences, MicroTAS 2014",, ,0,0,0,0,0,0,0,0,0,0,1,1
2014,"Effects of dietary macronutrient composition on the fasted plasma metabolome of healthy adult cats","Deng P., Jones J.C., Swanson K.S.",15733882,"Metabolomics",10, 4,0,0,0,0,0,0,0,0,0,0,4,4
2014,"Identification of predictive biomarkers of disease state in transition dairy cows","Hailemariam D., Mandal R., Saleem F., Dunn S.M., Wishart D.S., Ametaj B.N.",00220302,"Journal of Dairy Science",97, 5,0,0,0,0,0,0,0,0,0,0,18,18
2014,"Metabolomic, behavioral, and reproductive effects of the synthetic estrogen 17 α-ethinylestradiol on the unionid mussel Lampsilis fasciola","Leonard J.A., Cope W.G., Barnhart M.C., Bringolf R.B.",0166445X,"Aquatic Toxicology",150, ,0,0,0,0,0,0,0,0,2,2,11,13
2014,"Reducing acquisition times in multidimensional NMR with a time-optimized Fourier encoding algorithm","Zhang Z., Smith P.E.S., Frydman L.",00219606,"Journal of Chemical Physics",141, 19,0,0,0,0,0,0,0,0,0,0,11,11
2014,"The impact of selected strains of probiotic bacteria on metabolite formation in set yoghurt","Settachaimongkon S., Nout M.J.R., Antunes Fernandes E.C., van Hooijdonk T.C.M., Zwietering M.H., Smid E.J., Van Valenberg H.J.F.",09586946,"International Dairy Journal",38, 1,0,0,0,0,0,0,0,0,1,1,8,9
2014,"N-methylnicotinamide and nicotinamide N-methyltransferase are associated with microRNA-1291-altered pancreatic carcinoma cell metabolome and suppressed tumorigenesis","Bi H.-C., Pan Y.-Z., Qiu J.-X., Krausz K.W., Li F., H.Johnson C., Jiang C.-T., Gonzalez F.J., Yu A.-M.",01433334,"Carcinogenesis",35, 10,0,0,0,0,0,0,0,0,0,0,10,10
2014,"Mass spectrometry for proteomics-based investigation","Woods A.G., Sokolowska I., Ngounou Wetie A.G., Wormwood K., Aslebagh R., Patel S., Darie C.C.",00652598,"Advances in Experimental Medicine and Biology",806, ,0,0,0,0,0,0,0,0,0,0,3,3
2014,"Aging integromics: Module-based markers of heart aging from multi-omics data","Dimitrakopoulou K., Vrahatis A.G., Dimitrakopoulos G.N., Bezerianos A.",16800737,"IFMBE Proceedings",43, ,0,0,0,0,0,0,0,0,0,0,3,3
2014,"Metabolic responses of gloxinia perennis to dehydration and rehydration","Ivanov I., Benina M., Petrov V., Gechev T., Toneva V.",13101331,"Comptes Rendus de L'Academie Bulgare des Sciences",67, 12,0,0,0,0,0,0,0,0,0,0,0,0
2014,"MALDI-mass spectrometric imaging for the investigation of metabolites in Medicago truncatula root nodules.","Gemperline E., Li L.",1940087X,"Journal of visualized experiments : JoVE",, 85,0,0,0,0,0,0,0,0,0,0,2,2
2014,"Derivatization and multidimensional gas-chromatographic resolution of α-alkyl and α-dialkyl amino acid enantiomers","Meinert C., Meierhenrich U.J.",21926506,"ChemPlusChem",79, 6,0,0,0,0,0,0,0,0,0,0,5,5
2014,"Assessing compound carcinogenicity in vitro using connectivity mapping","Caiment F., Tsamou M., Jennen D., Kleinjans J.",01433334,"Carcinogenesis",35, 1,0,0,0,0,0,0,0,0,2,2,15,17
2014,"Evolution in action: Adaptation and incipient sympatric speciation with gene flow across life at “Evolution Canyon”, Israel","Nevo E.",15659801,"Israel Journal of Ecology and Evolution",60, 2,0,0,0,0,0,0,0,0,0,0,5,5
2014,"Root-feeding grape phylloxera: Approaches for improved detection and reduced quarantine risk","Powell K.S.",05677572,"Acta Horticulturae",1045, ,0,0,0,0,0,0,0,0,0,0,0,0
2014,"Comprehensive profiling and natural variation of flavonoids in rice","Dong X., Chen W., Wang W., Zhang H., Liu X., Luo J.",16729072,"Journal of Integrative Plant Biology",56, 9,0,0,0,0,0,0,0,0,2,2,15,17
2014,"The scent of colorectal cancer: Detection by volatile organic compound analysis","de Boer N.K.H., de Meij T.G.J., Oort F.A., Ben Larbi I., Mulder C.J.J., van Bodegraven A.A., van der Schee M.P.",15423565,"Clinical Gastroenterology and Hepatology",12, 7,0,0,0,0,0,0,0,0,0,0,19,19
2014,"Recursive weighted partial least squares (rPLS): An efficient variable selection method using PLS","Rinnan A., Andersson M., Ridder C., Engelsen S.B.",08869383,"Journal of Chemometrics",28, 5,0,0,0,0,0,0,0,0,0,0,18,18
